,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
91114,12.95,12,3,1,0,-7439,19,0,0,0,1,1,0,1,0
16514,38.85,17,3,1,0,-1534,18,0,1,0,0,0,0,1,0
25181,12.95,12,0,0,0,4009,17,0,0,0,0,1,0,1,0
14799,31.08,14,1,0,1,-1504,9,9,0,0,0,0,0,1,0
5939,12.95,17,3,1,0,5198,16,0,0,0,0,0,0,2,0
44725,12.95,22,3,1,0,5136,15,2,0,0,0,0,0,1,0
582,12.95,16,3,0,1,-312,9,0,0,0,0,1,0,1,0
65998,38.85,11,3,0,0,-1872,18,0,0,0,1,1,0,1,0
34,12.95,1,2,0,0,1119,20,3,1,0,0,0,0,1,0
45762,38.85,20,3,1,0,4686,22,2,0,0,0,0,0,1,0
21088,25.9,6,0,0,1,3252,6,1,0,0,0,0,0,2,0
15611,12.95,13,3,1,1,-9685,6,0,0,0,0,0,0,1,0
23453,38.85,11,2,0,0,2767,8,0,0,0,1,0,0,1,0
30764,38.85,1,2,0,0,2425,24,0,1,0,1,1,0,1,0
38579,12.95,13,2,0,1,534,18,0,0,0,1,1,0,2,0
78165,12.95,19,3,1,1,5440,11,0,0,0,0,0,0,1,0
83396,38.85,10,3,1,1,4444,9,9,1,0,0,0,0,1,0
19114,10.36,18,2,0,1,-4131,12,2,0,0,1,1,0,1,0
37047,12.95,19,2,0,0,-2107,18,4,0,0,0,0,0,1,0
62703,38.85,14,2,1,0,-4209,19,3,0,0,1,1,0,1,0
74759,49.95,10,3,1,0,-2890,17,3,0,0,1,0,0,1,0
83473,12.95,11,3,1,1,-11,9,9,0,0,1,1,0,4,0
6731,38.85,14,3,1,0,1171,24,2,0,0,0,0,0,1,0
73730,10.36,10,2,0,1,1792,8,2,0,0,1,1,0,1,0
34114,10.36,12,3,0,0,3145,22,2,0,0,0,0,0,1,0
49363,12.95,17,2,1,1,1774,8,0,0,0,1,1,0,3,0
23555,38.85,13,1,0,0,5907,15,0,1,0,0,0,0,1,0
50181,12.95,12,2,0,0,3520,10,0,0,0,0,0,0,2,0
51045,38.85,5,3,0,0,5732,22,0,0,0,1,1,0,1,0
84264,38.85,15,3,1,0,1049,21,0,1,0,0,0,0,1,0
85228,38.85,14,0,0,0,3242,15,0,0,0,1,1,0,1,0
86157,38.85,11,3,1,0,-779,22,1,0,0,0,1,0,2,0
23417,38.85,10,2,1,0,-439,19,0,0,0,1,0,0,1,0
31192,25.9,16,3,0,1,809,9,9,0,0,0,0,0,1,0
33192,12.95,17,2,1,0,3103,7,0,0,0,1,1,0,1,0
32726,49.95,13,2,0,0,-512,15,1,0,0,0,0,0,1,0
34784,38.85,19,2,0,1,-1245,7,0,0,0,1,1,0,2,0
80837,12.95,22,3,1,1,1900,8,1,0,0,1,1,0,2,0
66303,38.85,15,3,1,0,-3842,6,0,0,1,1,1,0,1,0
31236,23.4,17,2,0,0,-13276,21,2,0,0,0,1,0,3,0
38713,38.85,16,0,1,1,-3521,24,0,0,0,0,0,0,3,0
79534,25.9,19,3,1,1,2768,11,4,0,0,1,0,0,2,0
74357,38.85,18,3,1,0,2615,9,0,0,0,1,1,0,1,0
23585,12.95,13,0,0,1,-5994,7,0,0,0,1,1,0,1,0
38591,12.95,13,3,0,1,3824,9,0,1,0,0,0,0,2,0
64240,38.85,17,3,1,0,3187,18,0,0,0,0,1,0,1,0
29383,25.9,19,3,1,1,-1166,6,0,0,0,0,0,0,1,0
56800,12.95,15,3,0,1,5281,6,0,1,0,0,0,0,1,0
83797,11.01,20,3,1,1,301,14,0,0,0,0,0,0,1,0
83620,38.85,15,3,0,0,7029,22,0,0,1,0,0,0,2,0
3293,38.85,12,3,1,1,-1581,6,0,0,0,0,0,0,1,0
45277,38.85,13,2,0,1,-48,9,0,0,0,0,0,0,2,0
15109,38.85,19,3,0,1,4755,9,9,0,0,1,1,0,1,0
93266,12.95,15,4,0,0,1885,7,0,1,0,0,0,0,2,0
64707,38.85,10,2,1,1,-3434,9,4,0,0,0,0,0,1,0
31887,12.95,16,3,1,0,-1564,13,0,0,0,1,0,0,2,0
67917,38.85,10,2,1,0,4510,9,0,0,0,1,1,0,1,0
6490,38.85,11,3,1,0,-2239,23,0,0,0,1,0,0,1,0
70028,12.95,13,2,1,1,6197,10,2,0,0,0,0,0,2,0
4296,11.01,7,2,0,1,4336,12,0,0,0,1,0,0,1,0
38918,12.95,20,3,1,1,-32,17,0,0,0,1,1,0,1,0
70437,11.01,17,3,0,1,69,8,0,0,0,0,0,0,1,0
88265,38.85,22,2,0,1,4782,6,0,0,0,0,0,0,1,0
18243,12.95,10,0,0,0,3361,6,1,0,0,0,0,0,1,0
73172,31.08,17,3,1,1,4700,25,0,0,0,1,0,0,1,0
2242,10.36,14,3,1,0,-3319,16,1,0,0,0,1,0,1,0
40131,10.36,9,0,0,1,3014,7,0,0,0,1,1,0,1,0
43555,38.85,21,2,0,0,5896,19,0,0,0,1,1,0,1,0
6082,38.85,20,3,0,1,3829,9,2,0,0,1,0,0,1,0
7665,38.85,14,0,0,0,-37,16,5,0,0,0,0,0,1,0
25164,12.95,12,3,0,0,5144,20,0,0,0,1,1,0,1,0
201,38.85,9,3,0,0,3020,6,4,0,0,0,0,0,1,0
91119,38.85,21,2,0,0,4362,7,0,0,0,1,1,0,1,0
59787,38.85,10,0,1,0,686,25,0,0,0,0,0,0,1,0
21539,12.95,13,3,0,1,2023,8,3,1,0,1,0,0,1,0
87825,10.36,20,2,1,1,2368,15,0,0,0,0,0,0,1,0
50632,38.85,17,2,1,0,-4264,8,0,0,0,1,0,0,1,0
32963,11.65,15,3,0,0,-432,17,4,0,0,1,1,0,1,0
25595,38.85,16,3,0,0,3434,11,2,1,0,1,1,0,1,0
70565,12.95,18,3,1,1,333,11,0,0,0,0,0,0,5,0
51919,38.85,18,1,1,0,-1715,27,0,0,0,1,1,0,1,0
42376,39.96,22,3,0,0,3584,7,0,0,0,0,0,0,1,0
84728,38.85,8,3,0,1,235,7,0,0,0,1,0,0,1,0
32470,25.9,10,3,0,1,413,9,3,0,0,1,0,0,1,0
60439,38.85,19,2,0,0,-2109,20,0,0,0,0,0,0,1,0
77856,12.95,16,3,0,1,4079,12,2,0,0,0,0,0,3,0
72199,31.08,20,2,0,0,6913,12,0,0,0,0,0,0,1,0
37916,38.85,16,0,0,0,1655,25,1,0,0,1,0,0,1,0
55616,38.85,17,3,0,0,2918,17,1,0,0,0,0,0,2,0
64394,12.95,20,0,0,1,3306,29,0,0,0,0,0,0,2,0
62653,10.36,14,3,1,1,-1270,6,0,0,0,1,1,0,3,0
18317,38.85,11,3,0,0,2228,22,0,0,0,0,0,0,1,0
69383,38.85,21,3,1,0,-7200,11,0,0,0,0,0,0,1,0
27669,38.85,11,0,0,0,3260,20,0,0,0,1,0,0,1,0
6886,12.95,16,3,0,1,-687,7,1,0,0,0,1,0,1,0
57861,12.95,13,2,0,1,-1171,7,0,0,0,1,1,0,1,0
49172,12.95,15,3,0,0,-5649,7,0,0,0,0,0,0,1,0
33005,12.95,15,3,0,0,3797,19,0,0,0,1,1,0,1,0
64605,38.85,8,2,1,0,-202,8,0,0,0,1,0,0,2,0
62522,38.85,12,0,1,1,649,9,3,1,0,0,1,0,1,0
39716,12.95,19,3,0,1,4907,10,3,0,0,1,1,0,1,0
71870,20.72,16,3,1,1,7370,19,0,0,0,1,1,0,1,0
36490,25.9,12,3,0,0,4789,16,2,0,0,1,1,0,2,0
28070,20.72,16,1,0,1,-3679,8,0,0,0,0,0,0,1,0
25972,38.85,21,2,0,1,5180,7,3,0,0,1,1,0,2,0
6934,38.85,17,0,1,0,854,21,0,0,0,1,0,0,1,0
69175,12.95,17,3,1,0,5073,8,0,0,0,0,1,0,1,0
63049,20.72,18,3,0,1,3242,10,0,1,0,1,0,0,1,0
83971,12.95,7,2,0,1,-1591,20,0,1,0,1,1,0,1,0
19357,38.85,21,2,0,0,-1723,22,0,0,0,1,1,0,1,0
66170,10.36,14,2,0,0,5418,22,0,1,0,0,1,0,1,0
64480,59.4,23,3,0,0,2140,19,0,0,0,1,1,0,1,0
42239,38.85,20,2,1,1,4154,10,0,0,0,0,0,0,1,0
88122,10.36,15,2,1,1,5095,8,0,1,0,0,0,0,1,0
1078,12.95,9,3,1,1,2287,18,0,0,0,0,0,0,1,0
49060,38.85,13,2,1,0,7508,18,4,1,0,0,0,0,1,0
89148,12.95,8,2,0,0,605,7,7,0,0,0,0,0,2,0
28364,38.85,21,3,1,1,-2523,13,1,0,0,0,0,0,1,0
70907,12.95,7,2,0,1,3579,25,0,0,1,1,1,0,2,0
84712,12.95,8,3,0,1,-4310,6,0,0,0,0,0,0,1,0
85452,59.4,17,3,1,0,-4122,19,0,0,0,1,0,0,1,0
10591,25.9,20,3,0,1,471,11,3,0,0,0,0,0,1,0
66467,34.95,18,2,0,1,2859,21,0,0,0,1,0,0,1,0
20296,12.95,14,3,0,0,2373,18,0,0,0,0,0,0,1,0
15239,12.95,22,2,0,1,-1398,8,3,0,0,0,0,0,3,0
68308,38.85,19,2,1,0,656,19,0,0,0,1,1,0,1,0
70498,12.95,18,3,0,0,-5152,19,0,0,0,0,0,0,1,0
27044,38.85,18,3,1,0,289,30,0,0,0,0,0,0,1,0
56482,10.36,11,3,0,1,3434,25,0,0,0,1,0,0,1,0
23558,38.85,13,3,0,0,-8499,14,3,0,0,1,1,0,1,0
82814,38.85,16,3,1,0,1744,19,0,0,0,1,0,0,1,0
78208,25.9,20,3,0,1,2002,6,0,0,0,1,1,0,1,0
93533,12.95,14,4,1,1,2353,7,0,0,0,0,0,0,2,0
92614,25.9,15,4,1,0,2288,10,0,0,0,0,1,0,1,0
81009,49.95,8,3,1,0,1147,8,0,0,0,1,0,0,2,0
19419,12.95,21,3,0,1,243,10,0,0,0,0,0,0,1,0
83131,49.95,21,3,0,1,156,7,0,1,0,1,1,0,2,0
37677,12.95,13,2,0,1,-8583,7,0,0,0,0,0,0,2,0
29050,10.36,14,2,0,1,-2958,7,0,0,0,1,1,0,1,0
89730,12.95,21,3,1,0,2449,22,0,0,0,1,0,0,1,0
11057,12.95,11,0,1,0,-5022,26,0,0,0,1,1,0,1,0
45123,10.36,11,3,1,1,5290,8,2,0,0,1,1,0,3,0
52104,25.9,20,3,0,0,3533,20,4,0,0,0,0,0,1,0
52518,59.4,11,3,0,0,-3885,21,0,0,0,1,0,0,1,0
79978,25.9,9,2,0,1,694,9,3,0,0,0,1,0,2,0
5066,31.08,19,3,0,0,2732,22,2,0,0,0,0,0,1,0
2407,31.08,17,3,0,1,1913,21,0,1,0,1,0,0,2,0
80302,31.08,13,0,0,1,-6290,13,2,0,0,1,1,0,2,0
49394,38.85,18,3,0,1,2034,7,0,0,0,0,0,0,2,0
38275,12.95,7,3,0,1,1971,11,0,0,0,1,1,0,1,0
28118,10.36,17,3,0,1,30,6,0,0,0,1,1,1,3,0
13662,25.9,13,3,1,1,-924,10,2,0,0,1,0,0,2,0
4868,12.95,16,2,1,0,2878,16,5,0,0,1,1,0,1,0
60843,31.08,10,3,0,0,719,22,0,1,0,0,0,0,1,0
37411,25.9,9,3,0,0,2754,16,4,0,0,1,1,0,1,0
11404,12.95,14,3,1,1,6128,24,0,0,1,0,0,0,1,0
25331,12.95,13,3,0,0,-8015,20,0,0,0,0,0,0,1,0
89863,38.85,0,3,0,0,6472,23,0,0,0,1,1,0,2,0
78815,38.85,11,3,1,1,1918,32,0,0,0,1,0,0,1,0
36910,38.85,17,2,0,0,5551,18,5,0,0,0,0,0,1,0
84123,12.95,11,1,0,0,-10,23,2,0,0,1,1,0,2,0
7322,12.95,9,3,1,0,3333,25,0,0,0,0,0,0,1,0
78742,10.36,10,3,0,1,3452,11,3,1,0,1,1,0,1,0
58137,38.85,16,3,0,1,2945,9,0,0,0,1,0,0,1,0
31129,25.9,15,3,0,1,-737,12,4,0,0,0,0,0,4,0
24331,31.08,13,3,0,1,6780,10,0,0,0,0,0,0,1,0
54840,38.85,7,3,1,0,4364,14,0,0,0,1,1,0,1,0
49295,31.08,16,3,1,1,995,6,0,0,0,0,0,0,1,0
27856,12.95,13,3,0,1,-1121,9,9,0,0,0,0,1,2,0
57353,38.85,23,3,0,0,2575,21,1,0,0,0,1,0,1,0
80990,38.85,8,2,0,1,1171,9,9,0,0,0,1,0,1,0
82710,12.95,14,2,0,1,-4383,14,0,0,0,0,0,0,1,0
8568,12.95,18,3,1,1,-10,10,0,1,0,1,1,0,1,0
22291,38.85,6,3,0,0,2541,17,4,0,0,1,1,0,1,0
22490,10.36,10,1,0,1,265,18,0,0,0,1,1,1,2,0
75887,25.9,14,3,1,1,-4119,18,1,0,0,1,1,0,1,0
32914,12.95,14,3,0,1,-3238,9,4,0,0,0,0,0,2,0
39501,38.85,14,2,1,1,-675,17,0,0,0,0,1,0,1,0
38727,49.95,16,2,1,0,-1656,9,0,0,0,1,1,0,1,0
32533,31.08,11,3,0,1,-28,9,9,0,0,1,1,0,1,0
31819,10.36,15,3,1,1,2188,13,2,0,0,0,1,0,1,0
25820,10.36,19,3,0,0,-9161,9,0,0,0,0,0,0,2,0
74740,0,9,4,0,1,4645,9,1,0,0,0,1,0,32,0
28207,38.85,18,3,0,1,-726,11,0,0,0,1,1,0,1,0
41175,12.95,0,3,0,1,3492,6,6,0,1,0,0,0,1,0
77765,12.95,15,3,0,1,3220,9,1,1,0,0,1,0,2,0
79535,12.95,19,3,1,0,4830,19,0,0,0,1,1,0,1,0
53982,10.36,22,3,0,1,655,14,1,0,0,1,1,0,1,0
54114,12.95,9,3,0,1,-1966,8,1,0,1,0,0,0,2,0
15705,10.36,15,3,1,0,-1122,19,0,0,0,1,1,0,1,0
12022,12.95,22,3,1,1,4148,7,6,0,0,0,1,0,1,0
5282,12.95,0,3,0,1,3916,21,0,0,0,0,0,0,1,0
6446,25.9,10,0,1,1,-1670,16,1,0,0,1,1,0,1,0
88205,12.95,19,3,1,0,3473,15,0,0,0,1,1,0,1,0
83673,12.95,16,3,0,1,1976,16,8,1,0,1,1,0,1,0
91662,12.71,6,3,1,1,-4300,22,0,0,0,1,1,0,5,0
40296,38.85,11,2,0,0,-888,19,0,0,0,0,0,0,1,0
35006,49.95,23,2,0,0,1044,20,0,0,0,0,0,0,1,0
46473,38.85,17,0,1,0,-370,15,0,0,0,1,0,0,2,0
83737,12.95,18,3,1,1,-1427,9,9,1,0,0,0,1,1,0
13090,12.95,20,2,1,0,2196,16,0,0,0,1,0,0,1,0
55563,12.95,16,2,0,1,-600,9,0,0,0,0,0,0,3,0
88649,12.95,13,2,0,1,3125,9,4,0,0,1,1,0,1,0
69696,0,9,4,1,0,1486,13,3,0,1,1,1,0,1643,0
43064,12.95,14,3,0,1,-2030,7,2,0,0,1,0,0,1,0
87106,25.9,7,2,0,1,-1105,21,0,0,0,1,0,0,1,0
29680,31.08,5,3,0,0,2227,24,0,0,0,0,1,0,1,0
77338,31.08,10,2,1,1,-367,11,0,0,0,0,1,0,1,0
63565,25.9,9,3,0,1,3109,7,0,0,0,1,1,0,1,0
58406,12.95,20,3,1,1,1765,9,1,0,0,0,0,0,1,0
2507,12.95,20,3,0,0,1920,20,2,0,0,0,0,0,1,0
36425,10.36,11,3,0,1,-3292,8,0,0,0,1,0,0,1,0
24153,38.85,8,3,0,0,1453,15,2,0,0,1,1,0,2,0
86416,25.9,15,3,1,1,1403,8,1,0,0,1,1,0,2,0
93690,12.95,15,4,1,1,1451,10,4,1,0,1,1,0,1,0
82731,12.95,15,2,1,1,3019,6,2,0,0,1,1,0,1,0
30829,38.85,8,2,0,0,4253,20,0,0,0,0,0,0,1,0
45135,38.85,12,3,1,0,2745,7,0,0,0,0,0,0,1,0
6251,38.85,1,3,1,1,206,16,1,0,0,1,1,0,1,0
65434,12.95,19,3,0,1,3867,10,0,0,0,0,0,0,1,0
27962,12.95,14,3,1,1,3388,13,0,0,1,0,1,0,2,0
4114,38.85,20,3,0,0,2973,21,3,0,1,1,1,0,1,0
66065,31.08,12,3,0,1,4449,7,4,0,0,0,0,0,1,0
86766,12.95,20,3,0,0,3678,20,0,0,0,0,0,0,1,0
89894,31.08,1,3,0,0,1526,12,0,0,0,0,0,0,1,0
21586,12.95,13,3,1,0,4902,19,2,0,0,0,0,0,1,0
2222,25.9,14,2,1,0,5444,6,0,0,0,1,1,0,1,0
33527,38.85,21,2,0,0,2318,29,0,0,0,0,0,0,1,0
84066,38.85,10,2,0,1,-3395,8,8,0,0,1,1,0,1,0
57983,31.08,14,3,0,0,1457,23,0,1,0,0,0,0,1,0
38632,12.95,14,3,1,0,-5218,18,1,0,0,0,0,0,1,0
39977,12.95,4,3,0,1,-282,10,1,0,0,0,0,0,1,0
86879,12.95,22,2,0,1,3426,6,0,0,0,0,0,0,3,0
45910,11.01,1,3,0,1,5139,22,0,0,1,1,0,0,2,0
52767,38.85,14,2,0,1,5403,9,0,0,0,0,0,0,1,0
51502,39.96,13,3,1,1,-3976,8,0,0,0,1,0,0,2,0
83601,38.85,15,2,0,0,4096,8,1,0,0,0,0,0,1,0
35329,38.85,11,3,1,1,4578,19,4,0,0,1,0,0,1,0
86073,12.95,10,3,0,1,788,7,0,0,0,1,1,0,1,0
79249,38.85,16,3,0,1,3413,6,2,1,0,0,1,0,1,0
58069,12.95,15,2,1,0,-3127,19,0,0,0,1,1,0,1,0
33805,12.95,8,3,1,0,1906,23,3,0,0,1,0,0,2,0
86324,25.9,14,2,0,0,361,17,2,0,0,0,0,0,1,0
55893,12.95,20,3,0,0,5699,21,0,1,0,1,0,0,1,0
69035,31.08,14,3,0,0,-606,21,1,0,0,0,0,0,1,0
75762,38.85,11,2,1,0,-4872,19,0,0,0,1,1,0,2,0
47207,12.95,18,3,0,1,534,18,0,0,0,1,1,0,2,0
37019,12.95,19,3,0,0,4142,10,3,1,0,1,0,0,1,0
73338,12.95,19,3,1,0,-4256,14,0,1,0,1,0,0,1,0
6953,38.85,17,3,1,0,4856,14,4,0,0,0,0,0,1,0
51684,38.85,15,0,1,1,989,7,0,0,0,0,0,0,1,0
44749,20.72,22,3,0,1,6460,8,2,0,0,0,1,0,1,0
65855,12.95,10,3,0,1,5095,21,0,1,0,0,0,0,1,0
60436,38.85,19,1,1,1,-6238,9,9,0,0,1,1,0,1,0
91139,38.85,14,2,1,0,-4902,9,0,0,0,0,0,0,1,0
10948,24.95,9,3,1,0,2717,9,2,0,0,1,0,0,1,0
71860,38.85,16,3,1,0,772,17,1,0,0,1,1,0,1,0
82726,25.9,14,3,0,1,367,10,0,0,0,0,0,0,2,0
91749,14.95,11,2,0,1,2853,20,0,0,0,1,0,0,5,0
15202,38.85,21,2,0,0,2477,6,1,0,0,0,0,0,2,0
26718,12.95,14,2,0,1,4942,15,0,0,0,0,0,0,1,0
36965,12.95,18,3,1,0,-2081,22,0,0,0,0,1,0,1,0
15017,12.95,17,0,1,0,-1995,6,1,0,0,0,0,0,3,0
48171,38.85,17,3,0,1,1586,9,1,0,0,0,1,0,1,0
25675,12.95,17,0,0,1,-3332,12,0,0,0,1,1,0,1,0
93257,12.95,18,4,0,0,3352,12,4,0,0,0,0,0,1,0
70518,49.95,18,3,1,0,-6946,8,0,0,0,1,1,0,3,0
24014,49.95,23,3,1,0,-4185,21,0,0,0,1,1,0,1,0
38188,11.01,23,3,0,0,-4168,17,0,0,0,0,0,0,2,0
13777,0,14,4,0,0,1322,18,5,0,0,0,0,0,1,0
33646,31.08,23,3,1,1,-16634,12,4,0,0,1,0,0,1,0
503,38.85,14,2,0,1,471,23,0,0,0,0,0,0,1,0
76430,12.95,10,3,0,1,1751,7,2,0,0,0,0,0,2,0
27767,38.85,12,2,0,0,-10781,24,2,0,0,0,0,0,1,0
25732,12.95,18,2,0,1,2951,11,0,1,0,0,0,0,1,0
49482,38.85,19,3,0,0,1591,19,0,0,1,0,0,0,1,0
87239,11.01,10,3,0,1,2800,23,0,0,0,1,1,0,1,0
15556,38.85,12,2,0,1,-4366,13,0,0,0,1,1,0,2,0
9689,38.85,8,2,0,0,-1894,7,0,0,0,1,0,0,1,0
53793,12.95,17,3,1,1,2805,12,4,0,0,0,0,0,1,0
22240,12.95,0,2,0,1,2429,9,0,0,0,1,0,0,1,0
51909,11.01,17,0,0,1,1268,10,5,1,0,1,0,0,2,0
15545,12.95,12,2,0,1,-5402,6,2,0,0,0,0,0,1,0
42554,38.85,8,3,0,1,-702,9,0,0,0,1,1,0,1,0
39154,31.08,0,3,0,1,3466,7,2,0,0,1,1,0,1,0
12882,38.85,17,2,0,0,4506,9,0,0,0,0,0,0,2,0
66127,12.95,13,2,0,0,4131,8,0,0,0,0,0,0,1,0
71717,38.85,15,2,1,1,3602,17,0,1,0,0,0,0,1,0
24630,12.95,19,3,0,0,-2213,15,4,0,0,0,0,0,1,0
72580,38.85,10,1,1,0,2859,17,2,0,0,1,1,0,1,0
596,12.95,16,3,1,0,-59,6,0,0,0,0,0,0,1,0
87501,12.95,13,3,1,0,5024,11,0,0,0,0,0,0,1,0
43960,38.85,11,3,1,0,2481,19,0,0,0,1,1,0,2,0
75130,25.9,14,3,1,1,2466,18,0,0,0,1,0,0,2,0
69804,12.95,11,3,0,1,2824,9,9,0,0,0,0,0,1,0
33463,38.85,20,2,1,1,-681,9,9,0,0,1,1,0,2,0
8696,12.95,21,3,1,0,-8251,15,1,0,0,0,0,0,1,0
517,38.85,14,3,1,1,5144,6,1,0,0,0,1,0,2,0
77949,12.95,17,3,0,1,5750,6,0,0,0,1,1,0,3,0
39085,10.36,22,2,1,1,378,7,0,1,0,0,0,0,1,0
44524,11.01,18,3,0,0,2218,30,0,0,0,0,0,0,1,0
5875,12.95,16,3,0,1,4630,7,0,0,0,0,1,0,1,0
87345,25.9,11,3,1,0,794,21,0,0,0,0,1,0,1,0
38463,12.95,11,2,0,1,603,8,1,0,0,0,0,0,1,0
89328,38.85,12,3,1,1,-5954,9,3,0,0,1,1,0,3,0
47200,38.85,18,2,1,0,1177,17,3,0,0,1,1,0,1,0
66953,12.95,11,3,0,1,30,20,1,0,0,1,1,0,1,0
33541,38.85,21,3,0,1,-327,12,0,0,0,1,0,0,1,0
81149,12.95,10,1,0,1,191,12,6,0,0,1,1,0,3,0
39479,49.95,13,2,1,1,549,9,9,0,0,1,1,1,1,0
86447,12.95,15,3,0,1,-737,12,4,0,0,0,0,0,4,0
82623,10.36,13,0,0,1,-459,9,9,0,0,1,1,0,1,0
55246,12.95,13,3,0,1,3040,17,0,1,0,1,0,0,1,0
8239,25.9,10,2,0,1,-345,8,0,0,0,1,0,0,1,0
29297,12.95,17,3,0,0,5769,24,0,0,0,0,0,0,1,0
6507,38.85,11,2,0,0,-107,12,0,0,0,0,0,0,2,0
16824,12.95,8,2,1,0,5241,11,0,1,0,1,1,0,1,0
44913,34.95,8,3,1,0,-2374,17,0,0,0,1,1,0,1,0
76415,38.85,9,3,0,1,3931,10,1,0,0,0,1,0,1,0
93568,25.9,16,4,1,0,-2382,6,4,1,0,1,1,0,1,0
21477,25.9,13,2,0,1,-545,10,0,0,0,1,1,0,2,0
9421,38.85,20,2,0,0,-2290,22,0,0,0,1,1,0,1,0
19451,12.95,22,2,0,0,827,22,0,0,0,1,0,0,1,0
15536,38.85,12,2,0,1,-7992,9,9,0,0,1,1,1,1,0
63236,12.95,21,2,0,0,-619,22,2,0,0,0,0,0,1,0
68586,11.01,22,0,0,1,-1680,8,0,0,0,1,0,0,2,0
17883,38.85,22,3,0,0,-517,22,4,0,0,1,0,0,1,0
77646,12.95,14,3,1,1,5793,9,2,0,0,0,0,0,1,0
61815,11.01,16,3,1,1,473,10,0,0,0,1,1,0,1,0
5445,12.95,10,3,0,1,5808,9,9,0,0,0,1,1,2,0
38335,12.95,9,3,1,0,-8856,16,0,0,0,0,1,0,2,0
47526,12.95,9,3,1,1,2543,7,0,0,0,1,1,0,2,0
38915,25.9,19,3,1,0,6388,18,0,0,0,0,0,0,1,0
46635,12.95,22,3,0,0,-4029,17,0,1,0,0,1,0,1,0
56995,38.85,17,3,1,1,-1075,9,9,0,0,1,0,0,1,0
88942,38.85,20,3,1,1,-420,10,1,0,0,1,1,0,2,0
12026,38.85,23,3,1,1,2862,10,2,0,0,1,0,0,1,0
93564,12.95,12,4,1,1,-5438,14,0,0,0,0,0,1,1,0
40672,12.95,15,3,1,0,2000,18,1,0,0,0,0,0,1,0
58207,25.9,17,3,0,1,2462,13,0,0,0,0,0,0,1,0
85058,12.95,12,3,0,1,-4604,30,1,0,0,0,0,0,1,0
281,12.95,11,3,1,1,-589,9,2,0,0,1,1,0,2,0
23426,38.85,10,2,0,1,535,6,4,0,0,0,0,0,1,0
78338,49.95,22,0,1,1,-9548,9,9,0,0,0,0,0,1,0
83458,12.95,11,3,0,1,5750,6,0,0,0,1,1,0,3,0
42708,10.36,10,2,0,0,3296,18,0,1,0,0,0,0,1,0
28403,38.85,22,0,0,1,-4591,8,0,0,0,1,0,0,1,0
90243,12.95,13,4,0,0,-3307,12,0,0,0,1,0,0,1,0
